,acc,auc,mcc,pres,recall,f1,i,repeat_seed
89,0.87,0.947,0.742,0.873,0.87,0.87,8.0,4096.0
90,0.917,0.944,0.845,0.929,0.917,0.916,9.0,8192.0
91,0.875,0.903,0.753,0.878,0.875,0.875,9.0,8192.0
92,0.87,0.924,0.742,0.873,0.87,0.87,9.0,8192.0
93,0.826,0.886,0.664,0.837,0.826,0.825,9.0,8192.0
94,0.87,0.97,0.74,0.872,0.87,0.869,9.0,8192.0
95,0.652,0.811,0.334,0.678,0.652,0.644,9.0,8192.0
96,0.87,0.977,0.742,0.873,0.87,0.87,9.0,8192.0
97,0.739,0.879,0.489,0.748,0.739,0.738,9.0,8192.0
98,0.913,0.985,0.826,0.913,0.913,0.913,9.0,8192.0
99,0.87,0.932,0.768,0.898,0.87,0.868,9.0,8192.0
