,acc,auc,mcc,pres,recall,f1,i,repeat_seed
0,0.958,1.0,0.92,0.962,0.958,0.958,0.0,8.0
1,0.833,0.806,0.676,0.843,0.833,0.832,0.0,8.0
2,0.826,0.962,0.659,0.835,0.826,0.824,0.0,8.0
3,0.913,0.97,0.837,0.925,0.913,0.912,0.0,8.0
4,0.87,0.962,0.74,0.872,0.87,0.869,0.0,8.0
5,0.783,0.818,0.565,0.784,0.783,0.782,0.0,8.0
6,0.87,0.97,0.768,0.898,0.87,0.868,0.0,8.0
7,0.913,0.985,0.837,0.925,0.913,0.912,0.0,8.0
8,0.913,0.97,0.84,0.926,0.913,0.913,0.0,8.0
9,0.957,0.992,0.916,0.96,0.957,0.956,0.0,8.0
10,0.917,0.875,0.833,0.917,0.917,0.917,1.0,16.0
11,0.667,0.778,0.338,0.671,0.667,0.664,1.0,16.0
12,0.957,1.0,0.916,0.96,0.957,0.956,1.0,16.0
13,0.913,0.962,0.826,0.913,0.913,0.913,1.0,16.0
14,0.87,0.97,0.768,0.898,0.87,0.868,1.0,16.0
15,0.826,0.955,0.664,0.837,0.826,0.825,1.0,16.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0
17,0.913,1.0,0.837,0.925,0.913,0.912,1.0,16.0
18,0.87,0.97,0.768,0.898,0.87,0.868,1.0,16.0
19,0.913,1.0,0.84,0.926,0.913,0.913,1.0,16.0
20,0.875,0.979,0.753,0.878,0.875,0.875,2.0,32.0
21,0.833,0.938,0.676,0.843,0.833,0.832,2.0,32.0
22,0.87,0.97,0.763,0.896,0.87,0.867,2.0,32.0
23,0.826,0.826,0.659,0.835,0.826,0.824,2.0,32.0
24,0.783,0.97,0.589,0.805,0.783,0.78,2.0,32.0
25,0.87,0.939,0.742,0.873,0.87,0.87,2.0,32.0
26,0.913,0.97,0.84,0.926,0.913,0.913,2.0,32.0
27,0.957,1.0,0.917,0.96,0.957,0.957,2.0,32.0
