,x,y,v,Subtypes,colors,scatter_x,scatter_y,avg_imp,fold_00_imp,fold_01_imp,fold_02_imp,fold_03_imp,fold_04_imp,fold_05_imp,fold_06_imp,fold_07_imp,fold_08_imp,fold_09_imp
199,10,9,k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Synergistes|s__Synergistes_sp_3_1_syn1,cluster_05,#ee00ff,3.4638824,4.1748204,-0.3343184660584729,-0.3646578953131137,-0.33079031050594215,-0.38375691611127244,-0.3154843113324319,-0.37140311410315613,-0.3444808194069481,-0.27130119197575314,-0.3178753995150566,-0.3637890447598822,-0.27964565756117205
200,11,9,k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Pyramidobacter|s__Pyramidobacter_piscolens,cluster_05,#ee00ff,3.586458,4.2059784,-0.2223737481289736,-0.22690079429616516,-0.22381115058608067,-0.2510491668361395,-0.23022631554680809,-0.23168180813581302,-0.16882213560462384,-0.27078485866947016,-0.20424453818032132,-0.22687034897112407,-0.18934636446319048
201,12,9,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cellulophaga|s__Cellulophaga_unclassified,cluster_02,#08ff00,4.3709307,4.1137233,0.16227828397721283,0.2069254342626307,0.20775020946125,0.08401324181577881,0.0905272341651096,0.3093582796367686,0.11271722219520962,0.06280933143326126,0.28725349438357806,0.1822354066350706,0.07919298578347123
202,13,9,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,cluster_02,#08ff00,4.639665,4.26612,0.04720579630547518,0.05111876998670556,0.06839624926474787,0.104425941801983,-0.019737177991895512,0.1177685792543442,-0.05914531362554971,0.08006733493887869,0.05806005810318812,0.00013026550993521142,0.07097325581241436
203,14,9,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22,cluster_03,#00fff6,4.778404,4.3249397,-0.29327872552147494,-0.32536979581455583,-0.284792364478174,-0.3490056823815951,-0.2879714485775982,-0.3194432906958771,-0.30894162973014117,-0.2352988584448657,-0.2694676260396335,-0.2941423916870704,-0.2583541673652388
204,15,9,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,cluster_02,#08ff00,5.2427597,3.9532237,-0.2812020555505825,-0.329224609084457,-0.2629847653440311,-0.3164657607992447,-0.2803712477229095,-0.32165020855072585,-0.2743814102023767,-0.22349402640494498,-0.2597800421670299,-0.3133960055100927,-0.23027247972001244
205,16,9,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA,cluster_01,#fcf500,6.797559,4.3073983,0.031672565590648814,0.10654827195310614,0.10002987859279866,0.003926145233030935,-0.009714529363443985,0.11145095787921447,0.11776751468222373,-0.09291531419478738,-0.018196601774318737,0.1232427670696911,-0.12541343417102677
206,17,9,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_adiacens,cluster_03,#00fff6,7.712904,4.233798,-0.3038570828074702,-0.33143170935528676,-0.29425512992215097,-0.34320964952531596,-0.2763408539492717,-0.3393826455447696,-0.31174270224309897,-0.26409273476463535,-0.2830324356333464,-0.3433769406061176,-0.2517060265307093
207,18,9,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_confusa,cluster_03,#00fff6,7.806974,4.206181,-0.33457838138293783,-0.36746098318422554,-0.3316652437374784,-0.383296834770681,-0.31508984133052953,-0.3707630157047438,-0.3443497697789849,-0.27176564026989797,-0.3186863932782411,-0.3644593766284729,-0.2782467151461233
208,19,9,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_sinus,cluster_03,#00fff6,10.130313,4.5562286,-0.2404253595699156,-0.22923710627696056,-0.22805199141149032,-0.3006051838738536,-0.17072283069727687,-0.25763376755120926,-0.24245716149815225,-0.26391070036912434,-0.1934302288529199,-0.29755567090051527,-0.22064895426765335
209,20,9,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_unclassified,cluster_03,#00fff6,10.661279,4.7513075,-0.23871722668057976,-0.25907038010601546,-0.2308401855684882,-0.26764764032217386,-0.1715686915828535,-0.2411153639826895,-0.2277702922103939,-0.27127558369360516,-0.19355679075954266,-0.2958944328070629,-0.22843290577297296
210,0,10,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_KLE_1728,cluster_05,#ee00ff,-1.3266078,5.618976,-0.22096304615286103,-0.26452127783039486,-0.21752568833986713,-0.2821786557594494,-0.24271060949501633,-0.24195685585120927,-0.20199119569199253,-0.19941246884261585,-0.17818172229311202,-0.14024549293173177,-0.24090649449322082
211,1,10,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_iners,cluster_05,#ee00ff,0.071319595,4.9314814,-0.3189389373607178,-0.3315074329778186,-0.3316652437374784,-0.34264385506718065,-0.2989011910059129,-0.36306723055235557,-0.33852560011357974,-0.2584086800788675,-0.30704714287259416,-0.3622079230606901,-0.2554150741407005
